age,gender,income,expenses,savings,education,marital_status,loan_status,investment
56,M,41672,1385,1309.01,Bachelor,Married,0,1
46,F,78217,2248,3583.64,Bachelor,Single,0,0
32,F,28279,1767,518.16,Bachelor,Divorced,0,0
60,F,17017,1947,-451.66,Bachelor,Single,1,0
25,M,56600,3322,1109.63,Master,Divorced,1,1
38,M,42469,1248,1399.82,High School,Single,0,1
56,M,34681,2126,468.11,Master,Married,1,1
36,M,60625,2233,2495.86,Bachelor,Divorced,1,1
40,M,53657,2542,972.65,Bachelor,Single,0,0
28,M,41538,2048,1111.6,Bachelor,Widowed,0,0
28,M,30795,2154,322.58,High School,Married,1,0
41,M,63086,1804,2586.68,Master,Divorced,1,0
53,F,59753,2134,2549.62,Bachelor,Married,1,0
57,F,48512,1828,1383.62,Bachelor,Single,0,1
41,M,77699,2310,2648.84,Bachelor,Single,0,0
20,M,33948,1815,539.02,PhD,Single,0,1
39,F,27117,2188,48.58,Bachelor,Single,0,0
19,M,39621,1985,795.87,PhD,Single,0,1
41,M,49316,2563,985.78,Bachelor,Single,1,1
61,M,53650,1974,2081.93,High School,Married,0,1
47,F,46381,1113,2405.85,High School,Married,1,0
55,F,55280,2630,1135.19,Bachelor,Single,0,1
19,F,31226,1547,684.81,High School,Single,0,1
38,F,71656,1673,3745.79,High School,Married,0,0
50,F,48767,1702,1239.35,PhD,Single,0,0
29,M,66759,2687,1544.39,Master,Single,0,0
39,F,55140,932,2070.02,Master,Single,1,1
61,M,56851,3568,863.25,High School,Divorced,1,1
42,M,58546,2528,1316.91,High School,Divorced,0,1
44,F,56715,2111,2320.33,High School,Single,0,0
59,F,59640,1972,2034.7,Master,Married,1,0
45,M,69937,2142,2582.5,PhD,Married,0,1
33,M,52947,2260,1288.47,Bachelor,Married,0,0
32,M,60635,2322,1879.92,High School,Married,0,1
64,F,48653,2277,1359.31,Bachelor,Married,1,1
61,F,71601,2044,3140.05,Bachelor,Single,0,0
20,F,39854,1901,1138.33,Bachelor,Single,0,1
54,F,77014,1924,3285.7,Bachelor,Married,1,0
24,F,49397,1902,1908.26,Master,Divorced,0,1
38,M,28538,2566,-155.33,High School,Married,0,0
26,F,51921,2296,1630.33,High School,Divorced,0,1
56,M,39784,529,1455.14,PhD,Widowed,1,0
35,M,62609,2327,1453.16,High School,Single,0,0
21,M,40210,2097,733.47,High School,Married,1,1
42,F,43307,1990,1239.13,High School,Married,1,0
31,F,21656,1805,-0.22,High School,Widowed,0,1
26,F,43215,2562,686.91,Bachelor,Widowed,1,0
43,M,13641,2473,-1140.94,Master,Married,0,1
19,M,26241,1613,492.41,Bachelor,Single,0,0
37,M,61406,2203,2516.88,Bachelor,Married,0,1
45,M,61787,1514,2273.83,Bachelor,Single,0,0
64,M,56381,1310,2630.84,Bachelor,Married,0,0
24,M,35495,1686,774.16,Master,Divorced,0,0
61,F,49284,2431,965.78,Master,Single,0,1
25,F,49945,2476,967.56,High School,Married,1,0
64,F,32624,2256,294.65,Master,Married,0,1
52,F,72550,2362,2475.47,Bachelor,Married,1,1
31,M,63160,2258,2501.58,PhD,Single,0,0
34,M,46685,1679,1211.76,Bachelor,Married,0,1
53,F,50403,2215,1576.23,PhD,Divorced,0,0
57,M,53125,2400,1444.46,Master,Divorced,0,0
21,F,19373,2377,-469.12,High School,Single,0,1
19,F,46292,2594,880.94,Bachelor,Divorced,1,1
23,F,39770,2354,595.28,PhD,Married,1,1
59,M,34975,2175,546.13,Master,Single,1,0
21,F,45783,2535,862.3,High School,Single,0,0
46,F,76965,1986,2505.05,Master,Single,1,0
35,F,59612,1559,1863.29,Bachelor,Divorced,0,1
43,M,41432,1918,1102.93,High School,Married,0,1
61,M,58588,1627,2802.73,Bachelor,Married,1,1
51,F,70990,1662,2712.17,High School,Single,1,0
27,M,63869,1927,2693.24,Master,Married,0,0
53,M,50894,1603,2014.15,Bachelor,Single,0,0
31,M,40295,1846,1319.33,Master,Single,0,0
48,M,60473,1053,3302.32,High School,Married,1,0
32,M,55902,2106,1854.75,Bachelor,Single,0,1
25,M,63427,2000,2506.28,High School,Divorced,1,1
31,M,59527,1591,2895.67,High School,Single,0,1
40,M,65743,2329,2078.12,High School,Married,0,0
57,M,41971,2468,649.38,High School,Married,0,0
38,M,69760,1196,2328.63,Bachelor,Married,0,1
33,F,52963,1618,2322.07,High School,Single,0,0
62,F,81128,1615,4221.47,Bachelor,Single,1,1
35,M,39662,1530,961.75,Bachelor,Divorced,1,0
64,F,76039,2414,2866.4,Master,Single,1,0
41,F,52968,1903,1721.52,PhD,Divorced,1,1
43,M,40228,1867,813.2,Bachelor,Widowed,1,0
42,M,42741,998,2287.45,Bachelor,Single,0,1
62,M,45194,2317,849.04,High School,Single,1,1
58,F,56362,1380,1747.62,PhD,Married,0,0
46,F,57842,2029,2059.71,High School,Widowed,0,0
32,M,41394,2138,1043.36,High School,Divorced,0,1
62,M,49634,2680,746.98,High School,Married,0,1
18,M,82134,1345,4198.8,Bachelor,Married,0,0
42,F,75913,490,4160.64,High School,Single,1,1
24,F,56544,2091,1418.76,Master,Widowed,0,0
26,F,50570,2900,747.77,High School,Widowed,0,0
41,F,51800,2619,1234.53,Bachelor,Single,0,0
18,M,59202,2104,1750.17,High School,Single,0,0
61,M,34658,1754,992.77,High School,Single,0,0
25,M,46139,2403,1193.18,PhD,Single,0,1
41,M,24971,1513,507.39,High School,Divorced,0,0
28,F,55988,2238,1465.99,Master,Single,0,0
34,F,59707,2252,2418.24,Bachelor,Single,1,0
25,M,42752,2530,694.46,High School,Single,1,1
52,M,73609,3379,1760.52,PhD,Widowed,0,1
52,F,31613,2196,228.04,High School,Married,0,0
50,M,28034,1745,308.06,Master,Married,0,0
22,F,53366,1987,1911.07,High School,Single,1,0
59,M,65706,1115,2978.97,Master,Widowed,0,0
56,M,75258,1652,2728.32,High School,Divorced,0,0
58,M,43116,1795,1340.57,Bachelor,Single,1,0
45,M,66180,1737,2271.12,Master,Single,0,0
24,M,49422,2076,1493.18,PhD,Single,0,1
26,M,47410,1588,1520.92,PhD,Single,0,0
25,M,63254,2560,2248.7,Master,Married,1,1
29,F,59784,2000,2469.93,Master,Divorced,1,1
51,F,26354,1995,138.99,High School,Married,1,1
50,F,72148,1836,2674.22,High School,Divorced,0,0
40,F,70701,2077,2460.6,High School,Married,0,0
41,F,40616,2412,799.81,Bachelor,Married,1,0
54,M,55937,1566,1954.05,Bachelor,Married,1,1
52,M,57410,1670,1817.5,Bachelor,Single,0,0
61,F,53910,1848,1411.83,High School,Single,1,1
57,M,41745,1327,1477.56,Bachelor,Married,0,1
39,F,39925,1590,1203.54,High School,Single,0,0
44,F,49616,1761,1985.25,Bachelor,Single,1,1
52,M,67590,2437,1880.54,Bachelor,Married,0,0
18,M,58154,2131,1771.37,Master,Widowed,1,0
52,M,44440,2096,1323.42,Master,Married,0,0
54,F,61575,2425,2244.7,Bachelor,Divorced,0,0
64,M,7271,1931,-866.4,High School,Married,1,1
31,F,67231,2195,2329.59,Bachelor,Married,1,0
20,F,23904,1948,27.34,High School,Married,0,0
18,F,44563,2132,1380.76,Bachelor,Divorced,0,1
22,M,33204,1708,579.76,Bachelor,Married,1,1
43,M,30579,780,1544.57,High School,Married,0,0
31,F,67412,1932,2851.03,High School,Married,1,1
56,M,42984,2711,620.7,PhD,Married,1,1
44,M,55197,2463,1096.29,PhD,Single,0,0
26,M,49296,2482,1122.33,Bachelor,Single,0,0
32,F,57155,2618,1422.29,High School,Single,0,0
32,F,51152,2044,1252.41,High School,Divorced,1,1
43,M,30755,2098,354.53,Bachelor,Single,0,1
59,F,64944,1691,3305.96,PhD,Single,0,1
30,M,42593,1841,1238.39,High School,Married,0,0
49,M,26651,2307,-67.65,Master,Single,0,0
56,M,43578,2601,543.47,High School,Married,0,0
49,M,72511,1930,2743.37,PhD,Single,0,0
21,F,62753,1774,1888.54,Bachelor,Widowed,1,1
47,F,44770,2000,1289.68,Master,Divorced,1,1
54,F,44761,2300,1251.88,Bachelor,Divorced,1,0
40,M,45175,1278,1901.52,Bachelor,Married,0,0
56,M,81151,851,3137.4,High School,Married,0,0
62,M,55729,1724,1874.3,High School,Single,1,0
32,F,56450,1389,2387.8,PhD,Single,0,0
60,M,65454,1745,2453.03,PhD,Single,1,0
46,F,53581,1926,2116.22,Master,Married,1,0
53,F,46114,1773,1709.41,Bachelor,Married,0,0
30,F,47054,2726,890.08,Master,Married,1,0
49,F,48925,2163,1242.97,High School,Single,1,0
24,F,49441,2150,1186.26,Bachelor,Married,0,1
39,F,60914,2311,1499.69,Bachelor,Married,0,0
45,M,50779,1430,1798.5,Bachelor,Married,0,1
19,M,60989,2519,1705.36,Bachelor,Married,0,0
59,F,48789,1962,1620.58,High School,Single,0,0
62,F,51179,2335,1473.04,Bachelor,Divorced,0,0
23,M,20026,1464,108.16,Master,Married,1,0
45,F,63744,1223,2690.99,Bachelor,Single,0,1
45,F,55197,2408,1255.24,High School,Single,0,0
61,M,64970,2188,1815.44,High School,Married,1,1
61,F,6556,1548,-832.31,High School,Divorced,0,1
37,F,81325,1565,2693.43,High School,Married,1,1
47,F,47906,2562,954.88,Bachelor,Single,0,1
28,M,66622,1405,2352.42,Bachelor,Divorced,0,1
45,M,34401,2821,38.97,Bachelor,Married,0,0
42,M,59191,1549,2445.71,Bachelor,Married,1,1
56,F,34198,2319,314.55,Master,Married,0,0
50,F,40643,1835,1087.85,High School,Single,1,0
18,M,78710,2301,3375.0,Bachelor,Married,0,0
44,F,47139,1727,1944.25,Master,Single,0,1
30,F,53261,1918,1482.45,High School,Widowed,0,1
58,F,63051,2020,2763.58,High School,Married,1,0
20,F,57435,1498,2873.02,Master,Married,1,1
56,F,52256,2370,1719.85,Bachelor,Married,0,0
23,M,55474,1743,2171.87,Bachelor,Divorced,0,0
25,F,86051,1885,3974.63,High School,Divorced,0,0
44,M,49135,1502,1714.43,Bachelor,Married,0,0
26,F,53016,718,2963.55,Bachelor,Married,0,0
54,M,65759,1904,2547.9,High School,Married,1,1
50,F,66582,3206,1806.01,Bachelor,Married,1,1
59,M,67805,2392,2187.65,High School,Single,0,0
61,F,59580,1990,2357.98,Bachelor,Married,0,0
41,M,32854,1868,721.78,High School,Single,1,1
32,F,74501,2011,2344.57,High School,Divorced,1,1
49,M,32804,2273,383.81,High School,Single,0,0
49,F,54539,1409,2245.69,High School,Widowed,0,0
41,M,38685,2557,558.65,PhD,Married,0,1
58,M,49037,2357,1163.07,High School,Married,0,1
29,F,54931,2359,1445.66,Bachelor,Married,0,0
56,F,54820,2219,2034.58,High School,Single,0,0
19,M,56328,2009,1612.26,Bachelor,Single,1,1
20,F,74205,2336,3223.2,PhD,Single,0,0
54,M,56803,2295,1691.42,High School,Married,0,1
34,M,46337,1822,1439.09,PhD,Married,0,0
19,M,64461,1713,2280.82,High School,Married,1,1
19,F,67842,2050,2627.73,Master,Single,1,0
45,M,31585,2774,-89.42,Bachelor,Single,0,0
40,M,58961,1380,1822.21,Master,Married,0,1
54,F,60517,1266,2299.49,Bachelor,Divorced,1,0
49,F,45536,2082,860.7,Bachelor,Married,0,1
50,F,70635,2025,3441.69,High School,Married,0,0
18,F,47749,2086,1677.84,High School,Married,0,0
36,M,51883,2121,1449.44,PhD,Single,0,0
19,M,47403,1888,1631.96,Bachelor,Widowed,0,1
61,M,50233,2744,920.51,Bachelor,Married,1,0
43,M,33555,1199,1227.39,Master,Single,1,0
49,F,28399,1585,642.6,Bachelor,Married,0,0
23,M,73917,1948,3700.88,PhD,Single,1,1
