sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,ma_ngoai_ngu
1000008,7.2,7.5,6.0,5.0,3.5,1.75,N1
1000011,5.6,7.0,8.4,5.75,3.5,4.5,N1
1000013,7.4,5.75,8.0,8.0,3.75,5.75,N1
1000015,8.2,8.5,9.2,5.75,7.5,7.75,N1
1000017,7.4,7.75,6.6,3.0,6.5,6.75,N1
1000027,8.0,8.0,9.2,5.0,8.0,8.0,N1
1000031,5.0,6.5,3.2,5.5,5.25,4.75,N6
1000032,8.2,6.25,5.4,8.25,7.75,6.25,N1
1000036,7.8,7.75,5.0,6.25,6.5,6.5,N1
1000038,7.8,8.0,9.2,7.75,7.25,7.75,N1
1000041,8.6,7.75,9.4,6.0,8.5,8.75,N1
1000044,7.6,6.5,6.2,7.25,8.5,5.5,N1
1000046,7.8,4.0,9.4,6.75,7.5,6.5,N1
1000047,8.6,7.0,8.6,7.75,5.5,4.0,N1
1000058,7.8,5.5,7.4,6.75,8.0,4.75,N1
1000059,8.2,8.0,8.8,6.75,5.5,8.25,N1
1000063,7.4,7.75,9.0,6.25,5.0,4.75,N1
1000065,8.2,6.5,8.8,7.0,1.75,3.5,N1
1000072,7.0,5.5,9.8,7.25,4.75,6.5,N1
1000075,7.8,8.5,9.2,8.0,5.25,6.0,N1
1000076,8.2,8.0,8.6,7.0,8.5,8.25,N1
1000080,7.6,8.25,8.4,7.75,7.25,7.75,N1
1000082,9.2,8.75,9.2,7.75,7.0,8.0,N1
1000108,7.6,8.5,8.0,6.75,8.25,5.5,N1
1000113,8.2,6.5,6.8,7.5,8.0,6.25,N1
1000116,7.2,7.25,8.0,5.0,7.0,5.5,N1
1000122,5.0,7.0,3.8,5.5,3.5,5.0,N1
1000123,7.8,8.25,8.0,4.5,7.25,6.0,N1
1000124,7.8,6.25,8.2,8.25,4.75,6.75,N1
1000127,8.2,6.75,7.6,7.75,3.25,6.25,N1
1000129,7.8,8.0,9.0,6.75,7.25,8.0,N1
1000132,6.6,8.0,7.6,7.5,5.5,5.25,N1
