Mã đơn hàng,Ngày đặt hàng,Khu vực,Thành phố,Kênh bán hàng,Nhóm sản phẩm,Tên sản phẩm,Đơn giá (VNĐ),Số lượng,Doanh thu (VNĐ),Giảm giá (%),Thành tiền (VNĐ),Phí vận chuyển (VNĐ),Phương thức thanh toán,Giới tính KH,Tuổi KH,Đánh giá (sao),Trạng thái,Mã nhân viên
DH000001,2024-10-16,Miền Trung,Huế,Đại lý,Thực phẩm,Gạo ST25,64000.0,5,320000.0,0.0,320000.0,44000.0,Tiền mặt,Nữ,22.0,2.0,Hoàn thành,NV039
DH000002,2023-04-25,Tây Nguyên,Lâm Đồng,Siêu thị,Gia dụng,Nồi cơm điện,534000.0,6,3204000.0,0.0,3204000.0,0.0,Chuyển khoản,Nam,36.0,5.0,Hoàn thành,NV035
DH000003,2023-01-26,Miền Nam,TP.HCM,Siêu thị,Thực phẩm,Bánh tráng,34000.0,3,102000.0,20.0,82000.0,71000.0,Ví điện tử,Nam,36.0,3.0,Hoàn thành,NV041
DH000004,2023-10-09,Miền Nam,TP.HCM,Online,Điện tử,Máy tính bảng,2010000.0,4,8040000.0,5.0,7638000.0,0.0,Chuyển khoản,Nữ,32.0,4.0,Hoàn thành,NV040
DH000005,2023-09-08,Miền Bắc,Quảng Ninh,Cửa hàng,Điện tử,Máy tính bảng,849000.0,4,3396000.0,10.0,3056000.0,0.0,Tiền mặt,Nam,42.0,5.0,Đã hủy,NV025
DH000006,2023-08-17,Miền Bắc,Bắc Ninh,Siêu thị,Thời trang,Túi xách,161000.0,3,483000.0,0.0,483000.0,55000.0,Thẻ tín dụng,Nam,26.0,3.0,Hoàn thành,NV033
DH000007,2023-05-23,Miền Bắc,Hải Phòng,Online,Thời trang,Túi xách,229000.0,5,1145000.0,5.0,1088000.0,79000.0,COD,Nữ,36.0,2.0,Đang giao,NV028
DH000008,2023-04-15,Miền Nam,Bình Dương,Đại lý,Thực phẩm,Gạo ST25,47000.0,4,188000.0,0.0,188000.0,43000.0,Tiền mặt,Nữ,26.0,,Hoàn thành,NV050
DH000009,2024-11-23,Miền Nam,Cần Thơ,Đại lý,Thực phẩm,Gạo ST25,51000.0,2,102000.0,20.0,82000.0,,Tiền mặt,Nữ,25.0,3.0,Đã hủy,NV019
DH000010,2024-07-12,Miền Nam,TP.HCM,Đại lý,Thời trang,Áo thun,624000.0,1,624000.0,0.0,624000.0,34000.0,Chuyển khoản,Nữ,41.0,4.0,Hoàn thành,NV001
DH000011,2023-03-31,Miền Bắc,Quảng Ninh,Đại lý,Điện tử,Loa bluetooth,1100000.0,4,4400000.0,0.0,4400000.0,0.0,Thẻ tín dụng,Nam,35.0,5.0,Đang giao,NV032
DH000012,2024-08-27,Tây Nguyên,Gia Lai,Online,Điện tử,Loa bluetooth,2533000.0,5,12665000.0,5.0,12032000.0,0.0,Thẻ tín dụng,Nữ,50.0,5.0,Hoàn thành,NV016
DH000013,2024-03-08,Miền Nam,Bình Dương,Cửa hàng,Văn phòng phẩm,Bìa hồ sơ,16000.0,5,80000.0,20.0,64000.0,120000.0,Tiền mặt,Nam,20.0,5.0,Hoàn thành,NV025
DH000014,2023-02-02,Miền Bắc,Hải Phòng,Online,Thực phẩm,Nước mắm,35000.0,2,70000.0,5.0,66000.0,122000.0,Tiền mặt,Nam,21.0,3.0,Hoàn thành,NV049
DH000015,2023-01-31,Miền Bắc,Hà Nội,Cửa hàng,Mỹ phẩm,Nước hoa,214000.0,5,1070000.0,10.0,963000.0,43000.0,COD,Nữ,47.0,4.0,Hoàn thành,NV014
DH000016,2023-04-06,Miền Bắc,Hà Nội,Đại lý,Mỹ phẩm,Kem chống nắng,493000.0,2,986000.0,10.0,887000.0,112000.0,Tiền mặt,Nam,28.0,4.0,Hoàn thành,NV037
DH000017,2023-08-12,Miền Trung,Nghệ An,Siêu thị,Thực phẩm,Gạo ST25,56000.0,8,448000.0,25.0,336000.0,69000.0,Chuyển khoản,Nam,36.0,4.0,Hoàn thành,NV050
DH000018,2023-08-27,Miền Nam,Cần Thơ,Siêu thị,Gia dụng,Ấm siêu tốc,586000.0,1,586000.0,20.0,469000.0,103000.0,Thẻ tín dụng,Nữ,38.0,5.0,Hoàn thành,NV038
DH000019,2024-06-01,Miền Trung,Nghệ An,Siêu thị,Điện tử,Điện thoại,858000.0,4,3432000.0,0.0,3432000.0,0.0,Chuyển khoản,Nữ,31.0,5.0,Hoàn thành,NV004
DH000020,2024-09-08,Miền Bắc,Bắc Ninh,Cửa hàng,Gia dụng,Bàn ủi,1984000.0,7,13888000.0,50.0,6944000.0,0.0,Chuyển khoản,Nữ,32.0,5.0,Hoàn thành,NV002
DH000021,2023-01-28,Miền Nam,TP.HCM,Đại lý,Thời trang,Quần jean,179000.0,5,895000.0,0.0,895000.0,95000.0,Chuyển khoản,Nữ,36.0,5.0,Hoàn thành,NV009
DH000022,2024-07-28,Miền Bắc,Hà Nội,Online,Mỹ phẩm,Son môi,45000.0,8,360000.0,10.0,324000.0,117000.0,Chuyển khoản,Nam,26.0,5.0,Hoàn thành,NV010
DH000023,2023-07-23,Miền Bắc,Quảng Ninh,Siêu thị,Điện tử,Máy tính bảng,5615000.0,5,28075000.0,0.0,28075000.0,0.0,Chuyển khoản,Nữ,32.0,4.0,Trả hàng,NV012
DH000024,2024-10-27,Miền Trung,Nghệ An,Cửa hàng,Gia dụng,Nồi cơm điện,461000.0,4,1844000.0,10.0,1660000.0,130000.0,Tiền mặt,Nữ,44.0,5.0,Hoàn thành,NV045
DH000025,2024-12-19,Miền Trung,Nghệ An,Siêu thị,Điện tử,Tai nghe,1390000.0,1,1390000.0,0.0,1390000.0,67000.0,Ví điện tử,Nam,33.0,5.0,Đang giao,NV030
DH000026,2024-07-12,Miền Nam,TP.HCM,Online,Mỹ phẩm,Kem chống nắng,122000.0,4,488000.0,0.0,488000.0,54000.0,Ví điện tử,Nam,23.0,5.0,Hoàn thành,NV005
DH000027,2024-03-05,Miền Bắc,Hà Nội,Đại lý,Thời trang,Quần jean,1341000.0,2,2682000.0,0.0,2682000.0,0.0,Tiền mặt,Nữ,41.0,4.0,Hoàn thành,NV042
DH000028,2023-08-14,Miền Nam,TP.HCM,Online,Gia dụng,Ấm siêu tốc,641000.0,6,3846000.0,25.0,2884000.0,0.0,Ví điện tử,Nữ,41.0,4.0,Đang giao,NV031
DH000029,2024-04-04,Miền Nam,Đồng Nai,Đại lý,Thực phẩm,Trà xanh,70000.0,3,210000.0,0.0,210000.0,62000.0,Ví điện tử,Nữ,30.0,4.0,Trả hàng,NV002
DH000030,2024-08-26,Miền Bắc,Quảng Ninh,Đại lý,Thời trang,Giày thể thao,342000.0,4,1368000.0,0.0,1368000.0,91000.0,COD,Nam,18.0,4.0,Hoàn thành,NV021
DH000031,2023-10-12,Miền Nam,TP.HCM,Đại lý,Gia dụng,Máy xay sinh tố,604000.0,6,3624000.0,0.0,3624000.0,0.0,Thẻ tín dụng,Nữ,37.0,3.0,Đã hủy,NV047
DH000032,2023-01-07,Miền Bắc,Bắc Ninh,Siêu thị,Văn phòng phẩm,Bút bi,30000.0,5,150000.0,10.0,135000.0,85000.0,Ví điện tử,Nữ,57.0,4.0,Hoàn thành,NV003
DH000033,2023-06-13,Miền Bắc,Quảng Ninh,Online,Điện tử,Loa bluetooth,1480000.0,3,4440000.0,0.0,4440000.0,0.0,Ví điện tử,Nam,,4.0,Hoàn thành,NV001
DH000034,2024-12-15,Tây Nguyên,Đắk Lắk,Siêu thị,Văn phòng phẩm,Bìa hồ sơ,7000.0,3,21000.0,0.0,21000.0,86000.0,Tiền mặt,Nữ,27.0,3.0,Hoàn thành,NV019
DH000035,2024-03-08,Tây Nguyên,Gia Lai,Online,Thực phẩm,Gạo ST25,84000.0,3,252000.0,0.0,252000.0,81000.0,Ví điện tử,Nam,18.0,4.0,Hoàn thành,NV044
DH000036,2023-12-15,Miền Nam,Cần Thơ,Cửa hàng,Mỹ phẩm,Nước hoa,313000.0,3,939000.0,0.0,939000.0,109000.0,Thẻ tín dụng,Nữ,27.0,5.0,Hoàn thành,NV010
DH000037,2023-10-12,Miền Trung,Nghệ An,Cửa hàng,Thực phẩm,Trà xanh,53000.0,3,159000.0,0.0,159000.0,128000.0,Thẻ tín dụng,Nữ,,3.0,Trả hàng,NV017
DH000038,2023-06-09,Miền Bắc,Quảng Ninh,Online,Thực phẩm,Nước mắm,66000.0,4,264000.0,0.0,264000.0,99000.0,Ví điện tử,Nam,31.0,4.0,Hoàn thành,NV040
DH000039,2023-08-09,Miền Nam,Bình Dương,Online,Mỹ phẩm,Serum,143000.0,3,429000.0,15.0,365000.0,58000.0,Tiền mặt,Nữ,45.0,2.0,Hoàn thành,NV047
DH000040,2023-12-11,Miền Trung,Huế,Online,Thực phẩm,Cà phê,51000.0,3,153000.0,0.0,153000.0,124000.0,Tiền mặt,Nam,24.0,5.0,Hoàn thành,NV050
DH000041,2023-04-15,Miền Bắc,Bắc Ninh,Online,Thực phẩm,Cà phê,46000.0,5,230000.0,0.0,230000.0,29000.0,Thẻ tín dụng,Nữ,24.0,4.0,Hoàn thành,NV002
DH000042,2023-04-05,Miền Trung,Huế,Đại lý,Điện tử,Tai nghe,983000.0,3,2949000.0,0.0,2949000.0,0.0,Chuyển khoản,Nam,26.0,3.0,Hoàn thành,NV033
DH000043,2024-01-25,Miền Bắc,Hà Nội,Siêu thị,Điện tử,Tai nghe,8332000.0,3,24996000.0,15.0,21247000.0,0.0,Chuyển khoản,Nữ,41.0,4.0,Hoàn thành,NV044
