order_id,carrier,delivery_minutes
1,FastShip,40.3
2,FastShip,51.0
3,FastShip,40.2
4,FastShip,36.7
5,FastShip,47.7
6,FastShip,43.9
7,FastShip,32.2
8,FastShip,54.6
9,FastShip,44.2
10,FastShip,37.4
11,FastShip,46.8
12,FastShip,41.8
13,FastShip,39.6
14,FastShip,41.1
15,FastShip,49.2
16,FastShip,38.0
17,FastShip,51.6
18,FastShip,51.5
19,FastShip,39.0
20,FastShip,39.1
21,FastShip,45.9
22,FastShip,42.4
23,FastShip,54.5
24,FastShip,44.0
25,FastShip,31.8
26,FastShip,29.2
27,FastShip,34.5
28,FastShip,35.1
29,FastShip,52.0
30,FastShip,36.9
31,EcoShip,68.6
32,EcoShip,54.6
33,EcoShip,43.5
34,EcoShip,29.3
35,EcoShip,52.2
36,EcoShip,50.6
37,EcoShip,29.5
38,EcoShip,42.2
39,EcoShip,37.2
40,EcoShip,58.5
41,EcoShip,46.3
42,EcoShip,50.1
43,EcoShip,47.6
44,EcoShip,51.0
45,EcoShip,53.4
46,EcoShip,39.3
47,EcoShip,66.4
48,EcoShip,53.5
49,EcoShip,89.3
50,EcoShip,42.8
51,EcoShip,65.8
52,EcoShip,34.3
53,EcoShip,44.4
54,EcoShip,31.0
55,EcoShip,46.7
56,EcoShip,53.3
57,EcoShip,48.9
58,EcoShip,24.2
59,EcoShip,62.0
60,EcoShip,64.7
