user_id,group,order_value_vnd
1,A,341000
2,A,420000
3,A,213000
4,A,287000
5,A,340000
6,A,554000
7,A,482000
8,A,330000
9,A,423000
10,A,369000
11,A,251000
12,A,271000
13,A,250000
14,A,342000
15,A,365000
16,A,180000
17,A,451000
18,A,354000
19,A,334000
20,A,319000
21,A,501000
22,A,332000
23,A,333000
24,A,418000
25,A,350000
26,A,424000
27,A,358000
28,A,356000
29,A,464000
30,A,344000
31,A,264000
32,A,230000
33,A,355000
34,A,258000
35,A,421000
36,A,376000
37,A,320000
38,A,288000
39,A,343000
40,A,406000
41,A,431000
42,A,237000
43,A,531000
44,A,289000
45,A,238000
46,B,504000
47,B,480000
48,B,461000
49,B,348000
50,B,470000
51,B,387000
52,B,297000
53,B,348000
54,B,307000
55,B,458000
56,B,477000
57,B,322000
58,B,384000
59,B,423000
60,B,313000
61,B,461000
62,B,325000
63,B,298000
64,B,336000
65,B,369000
66,B,335000
67,B,479000
68,B,395000
69,B,295000
70,B,419000
71,B,295000
72,B,502000
73,B,311000
74,B,364000
75,B,408000
76,B,341000
77,B,326000
78,B,413000
79,B,286000
80,B,468000
81,B,305000
82,B,307000
83,B,385000
84,B,240000
85,B,394000
86,B,344000
87,B,418000
88,B,387000
89,B,458000
90,B,332000
91,B,451000
92,B,395000
93,B,359000
94,B,410000
95,B,341000
